id;name;bar_code;quantity;volume;type;sub_type;price;container_type;bar_code_type;tenant_id
1;Generic Steel Tuna;website calculating;57374;81236;support Consultant;wireless Chilean Peso Unidades de fomento;9665;Legacy Dynamic magenta;EAN;Unbranded Centers
2;Generic Metal Tuna;navigating Metical;43291;9654;Infrastructure;Internal compressing;55080;initiative green;EAN;Ball Australian Dollar
3;Bike;digital;11502;56622;Identity orange Security;Data Identity;58781;indigo Sports Human;PUC;Shirt intangible
4;Prairie;Rubber CSS;96920;15521;Keyboard;Central Ergonomic Concrete Ball;88292;Checking Account methodical optical;EAN;Forward project
5;hacking;efficient;4074;50702;Security applications User-friendly;Data;71562;sticky brand solution;PUC;Ergonomic Concrete Salad asynchronous
6;Brand;deposit;27583;42304;Consultant Chair;internet solution Operations Associate;788;Serbian Dinar;EAN;clicks-and-mortar
7;Outdoors programming;Algeria Executive;12685;25242;Taka;National;80631;Practical Chief Computers;EAN;Checking Account Vista
8;Bedfordshire Product;invoice;42121;32685;Security Ramp Ball;project Assistant;8484;Gateway program;PUC;Concrete copying Soft
9;calculate pink clear-thinking;focus group Computers Home Loan Account;42536;67105;Electronics;turquoise Engineer;29881;Savings Account index benchmark;PUC;Concrete Pike Rwanda
10;Credit Card Account Representative;markets;4888;98878;Electronics;Gloves;552;hack Buckinghamshire Frozen;EAN;Future
